Source;Target;Label;Weight
2;1;"Edge from 2 to 1";1
16;1;"Edge from 16 to 1";1
1;2;"Edge from 1 to 2";1
3;2;"Edge from 3 to 2";1
4;2;"Edge from 4 to 2";1
7;2;"Edge from 7 to 2";1
33;2;"Edge from 33 to 2";1
93;2;"Edge from 93 to 2";1
115;2;"Edge from 115 to 2";1
138;2;"Edge from 138 to 2";1
154;2;"Edge from 154 to 2";1
160;2;"Edge from 160 to 2";1
2;3;"Edge from 2 to 3";1
12;3;"Edge from 12 to 3";1
15;3;"Edge from 15 to 3";1
21;3;"Edge from 21 to 3";1
23;3;"Edge from 23 to 3";1
39;3;"Edge from 39 to 3";1
74;3;"Edge from 74 to 3";1
76;3;"Edge from 76 to 3";1
81;3;"Edge from 81 to 3";1
83;3;"Edge from 83 to 3";1
108;3;"Edge from 108 to 3";1
113;3;"Edge from 113 to 3";1
136;3;"Edge from 136 to 3";1
158;3;"Edge from 158 to 3";1
170;3;"Edge from 170 to 3";1
171;3;"Edge from 171 to 3";1
2;4;"Edge from 2 to 4";1
5;4;"Edge from 5 to 4";1
8;4;"Edge from 8 to 4";1
10;4;"Edge from 10 to 4";1
17;4;"Edge from 17 to 4";1
19;4;"Edge from 19 to 4";1
22;4;"Edge from 22 to 4";1
27;4;"Edge from 27 to 4";1
29;4;"Edge from 29 to 4";1
38;4;"Edge from 38 to 4";1
42;4;"Edge from 42 to 4";1
46;4;"Edge from 46 to 4";1
48;4;"Edge from 48 to 4";1
53;4;"Edge from 53 to 4";1
59;4;"Edge from 59 to 4";1
64;4;"Edge from 64 to 4";1
77;4;"Edge from 77 to 4";1
79;4;"Edge from 79 to 4";1
87;4;"Edge from 87 to 4";1
126;4;"Edge from 126 to 4";1
128;4;"Edge from 128 to 4";1
142;4;"Edge from 142 to 4";1
146;4;"Edge from 146 to 4";1
147;4;"Edge from 147 to 4";1
159;4;"Edge from 159 to 4";1
161;4;"Edge from 161 to 4";1
186;4;"Edge from 186 to 4";1
187;4;"Edge from 187 to 4";1
193;4;"Edge from 193 to 4";1
4;5;"Edge from 4 to 5";1
6;5;"Edge from 6 to 5";1
31;5;"Edge from 31 to 5";1
32;5;"Edge from 32 to 5";1
117;5;"Edge from 117 to 5";1
5;6;"Edge from 5 to 6";1
13;6;"Edge from 13 to 6";1
30;6;"Edge from 30 to 6";1
47;6;"Edge from 47 to 6";1
55;6;"Edge from 55 to 6";1
96;6;"Edge from 96 to 6";1
150;6;"Edge from 150 to 6";1
2;7;"Edge from 2 to 7";1
9;7;"Edge from 9 to 7";1
14;7;"Edge from 14 to 7";1
82;7;"Edge from 82 to 7";1
4;8;"Edge from 4 to 8";1
106;8;"Edge from 106 to 8";1
7;9;"Edge from 7 to 9";1
11;9;"Edge from 11 to 9";1
44;9;"Edge from 44 to 9";1
153;9;"Edge from 153 to 9";1
4;10;"Edge from 4 to 10";1
43;10;"Edge from 43 to 10";1
51;10;"Edge from 51 to 10";1
9;11;"Edge from 9 to 11";1
3;12;"Edge from 3 to 12";1
184;12;"Edge from 184 to 12";1
6;13;"Edge from 6 to 13";1
20;13;"Edge from 20 to 13";1
24;13;"Edge from 24 to 13";1
25;13;"Edge from 25 to 13";1
26;13;"Edge from 26 to 13";1
28;13;"Edge from 28 to 13";1
34;13;"Edge from 34 to 13";1
36;13;"Edge from 36 to 13";1
40;13;"Edge from 40 to 13";1
45;13;"Edge from 45 to 13";1
54;13;"Edge from 54 to 13";1
60;13;"Edge from 60 to 13";1
67;13;"Edge from 67 to 13";1
68;13;"Edge from 68 to 13";1
78;13;"Edge from 78 to 13";1
86;13;"Edge from 86 to 13";1
89;13;"Edge from 89 to 13";1
95;13;"Edge from 95 to 13";1
98;13;"Edge from 98 to 13";1
101;13;"Edge from 101 to 13";1
105;13;"Edge from 105 to 13";1
111;13;"Edge from 111 to 13";1
135;13;"Edge from 135 to 13";1
139;13;"Edge from 139 to 13";1
152;13;"Edge from 152 to 13";1
180;13;"Edge from 180 to 13";1
181;13;"Edge from 181 to 13";1
189;13;"Edge from 189 to 13";1
197;13;"Edge from 197 to 13";1
7;14;"Edge from 7 to 14";1
37;14;"Edge from 37 to 14";1
164;14;"Edge from 164 to 14";1
3;15;"Edge from 3 to 15";1
1;16;"Edge from 1 to 16";1
18;16;"Edge from 18 to 16";1
35;16;"Edge from 35 to 16";1
52;16;"Edge from 52 to 16";1
97;16;"Edge from 97 to 16";1
127;16;"Edge from 127 to 16";1
4;17;"Edge from 4 to 17";1
182;17;"Edge from 182 to 17";1
16;18;"Edge from 16 to 18";1
4;19;"Edge from 4 to 19";1
13;20;"Edge from 13 to 20";1
66;20;"Edge from 66 to 20";1
91;20;"Edge from 91 to 20";1
99;20;"Edge from 99 to 20";1
173;20;"Edge from 173 to 20";1
3;21;"Edge from 3 to 21";1
58;21;"Edge from 58 to 21";1
156;21;"Edge from 156 to 21";1
199;21;"Edge from 199 to 21";1
4;22;"Edge from 4 to 22";1
134;22;"Edge from 134 to 22";1
3;23;"Edge from 3 to 23";1
148;23;"Edge from 148 to 23";1
155;23;"Edge from 155 to 23";1
13;24;"Edge from 13 to 24";1
57;24;"Edge from 57 to 24";1
69;24;"Edge from 69 to 24";1
72;24;"Edge from 72 to 24";1
92;24;"Edge from 92 to 24";1
121;24;"Edge from 121 to 24";1
137;24;"Edge from 137 to 24";1
163;24;"Edge from 163 to 24";1
190;24;"Edge from 190 to 24";1
13;25;"Edge from 13 to 25";1
63;25;"Edge from 63 to 25";1
65;25;"Edge from 65 to 25";1
131;25;"Edge from 131 to 25";1
